0 0 0 0 0 0 0 
25 19 7 1 19 0 0 
47 34 10 1 34 0 0 6,18
77 55 15 1 55 0 0 6,22
114 80 20 1 80 0 0 6,26
154 108 26 1 108 0 0 6,30
195 136 18 2 68 0 0 6,34
224 156 20 2 78 0 0 6,22,38
279 194 24 2 97 0 0 6,24,42
335 232 30 2 116 0 0 6,26,46
395 274 18 2 68 2 69 6,28,50
468 324 20 4 81 0 0 6,30,54
535 370 24 2 92 2 93 6,32,58
619 428 26 4 107 0 0 6,34,62
667 461 30 3 115 1 116 6,26,46,66
758 523 22 5 87 1 88 6,26,48,70
854 589 24 5 98 1 99 6,26,50,74
938 647 28 1 107 5 108 6,30,54,78
1046 721 30 5 120 1 121 6,30,56,82
1153 795 28 3 113 4 114 6,30,58,86
1249 861 28 3 107 5 108 6,34,62,90
1352 932 28 4 116 4 117 6,28,50,72,94
1460 1006 28 2 111 7 112 6,26,50,74,98
1588 1094 30 4 121 5 122 6,30,54,78,102
1704 1174 30 6 117 4 118 6,28,54,80,106
1853 1276 26 8 106 4 107 6,32,58,84,110
1990 1370 28 10 114 2 115 6,30,58,86,114
2132 1468 30 8 122 4 123 6,34,62,90,118
2223 1531 30 3 117 10 118 6,26,50,74,98,122
2369 1631 30 7 116 7 117 6,30,54,78,102,126
2520 1735 30 5 115 10 116 6,26,52,78,104,130
2677 1843 30 13 115 3 116 6,30,56,82,108,134
2840 1955 30 17 115 0 0 6,34,60,86,112,138
3009 2071 30 17 115 1 116 6,30,58,86,114,142
3183 2191 30 13 115 6 116 6,34,62,90,118,146
3351 2306 30 12 121 7 122 6,30,54,78,102,126,150
3537 2434 30 6 121 14 122 6,24,50,76,102,128,154
3729 2566 30 17 122 4 123 6,28,54,80,106,132,158
3927 2702 30 4 122 18 123 6,32,58,84,110,136,162
4087 2812 30 20 117 4 118 6,26,54,82,110,138,166
4296 2956 30 19 118 6 119 6,30,58,86,114,142,170
